Date,vf_GARCH,vf_CPGARCH,vf_ICPGARCH,vf_GJR,vf_CPGJR,vf_ICPGJR,vf_RSGARCH,vf_CPRSGARCH,vf_ICPRSGARCH,vf_HAR,vf_CPHAR,vf_ICPHAR,vf_HAR_a,vf_CPHAR_a,vf_ICPHAR_a
18-May-2021,0.0001507988509356,0.000117857770755983,0.000101255950211888,0.000152713552582825,0.000101255950213163,0.000101255950213163,0.000126603452267125,0.000125675542875334,0.000120000133712517,3.86464182490975e-05,4.30746826314822e-05,4.30746826314822e-05,4.24159274248293e-05,5.13009585622701e-05,5.13009585622701e-05
19-May-2021,0.000138938688988622,0.000117424256586469,0.000100853220599513,0.000148558252828361,0.000100853220600842,0.000100853220600842,0.000126825647409749,0.000111214143112949,0.000111293965238989,5.00399781757992e-05,5.08636620825278e-05,5.08636620825278e-05,4.67410223396834e-05,4.55620766309221e-05,4.55620766309221e-05
20-May-2021,0.000109164287190695,0.000117391456047281,9.64207604482795e-05,0.000119996813075855,9.64207604495059e-05,9.64207604495059e-05,0.000101885927968995,9.18352944177154e-05,9.17394936835249e-05,4.02059211072206e-05,4.28091548148439e-05,4.28091548148439e-05,4.88620135322066e-05,5.73731635526299e-05,5.73731635526299e-05
21-May-2021,0.000108820823828932,0.000118224308439556,9.61691010217596e-05,0.000104500535683715,9.61691010228713e-05,9.61691010228713e-05,0.000111099857878396,0.000101691512490105,0.00011517598962313,7.80262242993954e-05,7.2515728539726e-05,7.2515728539726e-05,6.8338559886394e-05,6.10415273356933e-05,6.10415273356933e-05
24-May-2021,8.35350911289884e-05,0.00011747705133783,9.15308412619085e-05,7.82694413100175e-05,9.15308412629154e-05,9.15308412629154e-05,8.54019246358529e-05,9.61043245511263e-05,8.09466359267314e-05,3.2652770096987e-05,3.74192391331871e-05,3.74192391331871e-05,3.37013688155112e-05,4.01436597382922e-05,4.01436597382922e-05
25-May-2021,8.64647017852843e-05,0.000117455212215,9.10745072126366e-05,7.67072496292992e-05,9.10745072135491e-05,9.10745072135491e-05,9.73263926162486e-05,9.40202990166331e-05,9.36969724686283e-05,3.63832209395471e-05,3.9941030002168e-05,3.9941030002168e-05,3.20302741571571e-05,3.18031814730886e-05,3.18031814730886e-05
26-May-2021,7.06710904684399e-05,0.000117819270551459,8.73082071595804e-05,6.32131138559215e-05,8.73082071604218e-05,8.73082071604218e-05,7.58779222188796e-05,8.70759661311486e-05,7.41810760726804e-05,1.66346201703627e-05,2.19112649459872e-05,2.19112649459872e-05,2.00750018708858e-05,2.84201949926078e-05,2.84201949926078e-05
27-May-2021,5.54086310908686e-05,0.000116833296658336,8.33393635193689e-05,4.9712359230097e-05,8.33393635201265e-05,8.33393635201265e-05,6.23608814128921e-05,7.82725279075585e-05,5.90037760308039e-05,2.49019182866698e-05,2.93371415233827e-05,2.93371415233827e-05,2.38931853392719e-05,2.82835309151482e-05,2.82835309151482e-05
28-May-2021,4.45485635514937e-05,0.000116737260507486,7.97232597536986e-05,4.11169668382802e-05,7.97232597543804e-05,7.97232597543804e-05,5.34385932205507e-05,6.39774678356946e-05,6.11599722581123e-05,1.47014199817396e-05,1.89014361097941e-05,1.89014361097941e-05,1.35019841498664e-05,1.64480535080492e-05,1.64480535080492e-05
01-Jun-2021,3.72496471899446e-05,0.000116133576446889,7.64581041735918e-05,3.44915454180246e-05,7.64581041742056e-05,7.64581041742056e-05,4.62204787677778e-05,5.97005693999066e-05,5.96709534488182e-05,1.18599002797611e-05,1.53837166463924e-05,1.53837166463924e-05,1.08211770776431e-05,1.32566033568223e-05,1.32566033568223e-05
02-Jun-2021,3.05025261780735e-05,0.000115365235359789,7.36385367184426e-05,3.04218440599174e-05,7.3638536719e-05,7.3638536719e-05,4.10348248794204e-05,7.1354312469432e-05,5.80999877268791e-05,9.94975991227549e-06,1.34233174902776e-05,1.34233174902776e-05,9.01116363087411e-06,1.16324767690282e-05,1.16324767690282e-05
03-Jun-2021,2.64124411058048e-05,0.000114570019779923,7.09351108609006e-05,2.68773227162676e-05,7.09351108614024e-05,7.09351108614024e-05,3.65531855913481e-05,6.02611860555687e-05,5.7182007049663e-05,1.6533578661677e-05,1.97860294610745e-05,1.97860294610745e-05,1.4635202472542e-05,1.69193100104336e-05,1.69193100104336e-05
04-Jun-2021,3.18564056116439e-05,0.000114892633266824,6.96880411446131e-05,3.22201312201567e-05,6.96880411451093e-05,6.96880411451093e-05,3.81767982777753e-05,5.62095062621419e-05,5.8630283387091e-05,1.20555077013918e-05,1.5527474289868e-05,1.5527474289868e-05,1.09786208548834e-05,1.36828341521467e-05,1.36828341521467e-05
07-Jun-2021,4.44540339123308e-05,0.000114508076231226,7.03623012189787e-05,3.93601240593344e-05,7.03623012194286e-05,7.03623012194286e-05,7.13859216182731e-05,9.02891700010089e-05,7.32534834953218e-05,2.11120711482682e-05,2.34871042348795e-05,2.34871042348795e-05,2.11356792834203e-05,2.46743894882237e-05,2.46743894882237e-05
08-Jun-2021,3.78704495368408e-05,0.000114833047758201,5.76860083261585e-05,3.42116604071104e-05,5.53566620766294e-05,5.53566620766294e-05,5.0639969293571e-05,7.93887703835281e-05,7.4070935121804e-05,9.13832065489667e-06,1.19583406613381e-05,1.19583406613381e-05,1.14469900461609e-05,1.73497767651634e-05,1.73497767651634e-05
09-Jun-2021,3.23320188797333e-05,0.000114377168744493,5.17440528343082e-05,2.99353755542449e-05,5.07843567146721e-05,5.07843567146721e-05,4.0487882892238e-05,6.92767491980962e-05,6.55179616951602e-05,1.11476096230883e-05,1.38280277737247e-05,1.38280277737247e-05,1.06237228837297e-05,1.27665753143572e-05,1.27665753143572e-05
10-Jun-2021,3.06752199930881e-05,0.000113427625453592,5.09383977896878e-05,2.89136087198579e-05,5.08815702734259e-05,5.08815702734259e-05,3.66328650252022e-05,5.68478545637247e-05,5.97750127746249e-05,1.51187254714428e-05,1.70859982359256e-05,1.70859982359256e-05,1.32216037272496e-05,1.3879548276643e-05,1.3879548276643e-05
11-Jun-2021,3.03282613951679e-05,0.000113445957271242,5.12236838528175e-05,2.81466233740327e-05,5.00934199339887e-05,5.00934199339887e-05,4.09656142431678e-05,6.19211376044873e-05,6.03092952390844e-05,8.47195503192971e-06,1.08759433619308e-05,1.08759433619308e-05,9.28323734289333e-06,1.22822744806382e-05,1.22822744806382e-05
14-Jun-2021,2.65459700957063e-05,0.000112927599061587,4.74505391142592e-05,2.49419118123312e-05,4.70504707723741e-05,4.70504707723741e-05,3.55731694481753e-05,5.91126991125137e-05,5.5217141550236e-05,1.40558133611708e-05,1.55656534291086e-05,1.55656534291086e-05,1.34266479253183e-05,1.49873137186462e-05,1.49873137186462e-05
